date,latitude,longitude,depth_km,magnitude,location
2024-12-23T15:33:51,38.8143,27.8303,8.7,2.0,SAZOBA-AKHISAR (MANISA) İlksel
2024-12-23T15:29:55,37.5998,37.2502,5.0,1.9,KAZANLIPINAR-(KAHRAMANMARAS) İlksel
2024-12-23T15:29:15,40.702,29.2513,11.4,2.0,YALOVA ACIKLARI (MARMARA DENIZI) İlksel
2024-12-23T12:13:56,36.8708,27.5693,11.2,1.6,GOKOVA KORFEZI (AKDENIZ) İlksel
2024-12-23T11:13:13,38.4448,37.3158,4.8,1.5,AKARCA-ELBISTAN (KAHRAMANMARAS) İlksel
2024-12-23T10:58:05,37.493,40.3655,5.0,1.6,EKINCILER-MAZIDAGI (MARDIN) İlksel
2024-12-23T09:58:50,39.8427,29.8963,7.7,2.0,ERIKLI-BOZUYUK (BILECIK) İlksel
2024-12-23T09:06:08,37.1572,28.9405,6.4,2.0,ESENLER-BEYAGAC (DENIZLI) İlksel
2024-12-23T08:40:37,36.9367,36.672,5.2,1.7,AGALAROBASI-ISLAHIYE (GAZIANTEP) İlksel
2024-12-23T08:39:14,38.9587,26.1532,5.6,2.2,MIDILLI ADASI GUNEYI (EGE DENIZI) İlksel
2024-12-23T08:07:10,38.1295,36.5187,8.2,1.3,BOZHUYUK-GOKSUN (KAHRAMANMARAS) İlksel
2024-12-23T07:12:01,40.645,29.093,16.9,2.0,CINARCIK (YALOVA) İlksel
2024-12-23T06:42:03,38.1288,38.4603,10.8,1.8,AKSU-SINCIK (ADIYAMAN) İlksel
2024-12-23T06:30:22,37.069,27.8153,14.3,1.9,FESLEGEN-MILAS (MUGLA) İlksel
2024-12-23T06:10:23,39.79,41.7625,7.9,1.9,EYUPLER-KOPRUKOY (ERZURUM) İlksel
2024-12-23T06:01:41,37.4558,37.159,5.6,1.5,DOGANLIKARAHASAN-PAZARCIK (KAHRAMANMARAS) İlksel
2024-12-23T05:45:07,38.2517,38.4177,5.0,1.7,UZUMLU-(MALATYA) İlksel
2024-12-23T05:37:12,38.25,37.9407,7.6,1.8,OREN-AKCADAG (MALATYA) İlksel
2024-12-23T05:23:50,37.84,26.9107,9.7,2.0,KUSADASI KORFEZI (EGE DENIZI) İlksel
2024-12-23T05:20:10,37.1428,28.8218,9.6,2.9,KARACAOREN-(MUGLA) İlksel
2024-12-23T04:17:07,38.6025,38.0028,8.4,1.9,BOGURTLEN-YAZIHAN (MALATYA) İlksel
2024-12-23T04:01:50,37.3722,36.9563,6.8,1.4,OZBEK-TURKOGLU (KAHRAMANMARAS) İlksel
2024-12-23T03:58:33,38.1187,38.461,5.0,1.9,AKSU-SINCIK (ADIYAMAN) İlksel
2024-12-23T03:54:44,38.537,28.2495,8.1,1.6,DURASILLI-SALIHLI (MANISA) İlksel
2024-12-23T03:39:43,38.3278,37.7457,16.4,1.5,KEPEZ-AKCADAG (MALATYA) İlksel
2024-12-23T03:09:37,37.4982,36.8923,5.4,1.6,HACIMUSTAFA-(KAHRAMANMARAS) İlksel
2024-12-23T01:40:14,36.7642,36.0015,8.6,2.1,ISKENDERUN KORFEZI (AKDENIZ) İlksel
2024-12-23T01:37:47,38.3545,38.7858,4.2,2.5,CANAKCI-KALE (MALATYA) İlksel
2024-12-23T01:24:57,39.7833,41.782,5.0,2.8,EYUPLER-KOPRUKOY (ERZURUM) İlksel
2024-12-23T01:15:55,38.5097,28.2342,7.2,1.8,DURASILLI-SALIHLI (MANISA) İlksel
2024-12-22T22:09:52,34.6562,26.2408,8.2,4.8,GIRIT ADASI ACIKLARI (AKDENIZ) İlksel
2024-12-22T21:12:13,36.1312,26.9902,8.1,2.9,AKDENIZ İlksel
2024-12-22T20:39:05,38.8117,37.4413,5.0,2.5,KULAHLI-GURUN (SIVAS) İlksel
2024-12-22T20:18:27,39.4998,38.9343,3.2,2.4,YUCEBELEN-KEMAH (ERZINCAN) İlksel
2024-12-22T19:39:43,38.1308,37.1325,5.6,1.9,GUPLUCE-ELBISTAN (KAHRAMANMARAS) İlksel
2024-12-22T18:29:46,37.1562,28.8455,11.1,1.6,BEYAGAC (DENIZLI) İlksel
2024-12-22T17:10:55,37.8288,36.2633,16.0,1.5,TOPALLAR-SAIMBEYLI (ADANA) İlksel
2024-12-22T16:56:25,38.563,40.4,7.5,2.8,YELKAYA-GENC (BINGOL) İlksel
