date,latitude,longitude,depth,magnitude,location
2021-05-14T06:33:00,0.1684,96.6475,11,6.7,"Sinabang, Indonesia"
2021-05-12T14:05:00,-17.2495,66.3745,10,6.7,Mauritius - Reunion region
2021-05-01T01:27:00,38.2296,141.665,43,6.9,Asia Japan
2021-04-25T22:28:00,-21.6857,-177.064,246,6.5,"Haveluloto, Tonga"
2021-04-24T00:23:00,-18.9204,-176.235,301,6.5,"Pangai, Tonga"
2021-03-20T09:09:00,38.4752,141.607,43,7,"Ishinomaki, Japan"
2021-03-16T18:38:00,54.7018,163.208,13.23,6.6,"Ust’-Kamchatsk Staryy, Russia"
2021-03-04T23:12:00,-28.4792,-176.619,24,6.5,Kermadec Islands region
2021-03-04T19:28:00,-29.7466,-177.224,28.93,8.1,"Kermadec Islands, New Zealand"
2021-03-04T17:41:00,-29.6131,-177.842,43,7.4,"Kermadec Islands, New Zealand"
2021-03-04T13:27:00,-37.596,179.544,10,7.3,"Gisborne, New Zealand"
2021-02-13T14:07:00,37.6856,141.992,43.98,7.1,"Namie, Japan"
2021-02-10T13:19:00,-23.2787,171.489,10,7.7,the Loyalty Islands
2021-01-23T23:36:00,-61.8484,-55.559,15,6.9,South Shetland Islands
2021-01-21T12:23:00,5.0074,127.517,80,7,"Pondaguitan, Philippines"
2021-01-11T21:32:00,51.2407,100.443,10,6.7,"Turt, Mongolia"
2020-12-27T21:39:00,-39.3264,-74.9067,10,6.7,"Corral, Chile"
2020-10-30T11:51:00,37.8973,26.7953,21,7,"Néon Karlovásion, Greece"
2020-10-19T20:54:00,54.662,-159.675,28.37,7.6,"Sand Point, Alaska"
2020-09-18T21:43:00,0.9604,-26.8332,10,6.9,central Mid-Atlantic Ridge
2020-09-01T21:09:00,-27.9285,-71.3937,16,6.5,"Vallenar, Chile"
2020-09-01T04:09:00,-28.013,-71.1958,21,6.8,"Vallenar, Chile"
2020-08-30T21:20:00,0.8696,-29.7046,10,6.5,central Mid-Atlantic Ridge
2020-08-21T04:09:00,-6.6704,123.493,624,6.9,"Katabu, Indonesia"
2020-08-18T22:29:00,-4.2791,101.215,26,6.9,"Bengkulu, Indonesia"
2020-08-18T22:23:00,-4.3724,101.095,22,6.8,"Bengkulu, Indonesia"
2020-08-18T00:03:00,12.0065,124.13,10,6.6,"San Pedro, Philippines"
2020-07-22T06:12:00,55.1079,-158.477,28,7.8,"Perryville, Alaska"
2020-07-17T02:50:00,-7.847,147.755,73,7,"Popondetta, Papua New Guinea"
2020-07-06T22:54:00,-5.6368,110.678,533.76,6.6,"Batang, Indonesia"
2020-06-23T15:29:00,15.9163,-95.9533,20,7.4,"Santa María Xadani, Mexico"
2020-06-18T12:49:00,-33.2938,-177.838,10,7.4,the Kermadec Islands
2020-06-13T15:51:00,28.9386,128.262,165,6.6,"Naze, Japan"
2020-06-03T07:35:00,-23.2966,-68.4204,112,6.8,"San Pedro de Atacama, Chile"
2020-05-15T11:03:00,38.1689,-117.85,2.7,6.5,"Monte Cristo Range, NV Earthquake"
2020-05-12T22:41:00,-12.0662,166.648,107,6.6,"Lata, Solomon Islands"
2020-05-06T13:53:00,-6.7762,129.785,96,6.8,Banda Sea
2020-05-02T12:51:00,34.1818,25.7101,10,6.5,"Néa Anatolí, Greece"
2020-03-31T23:52:00,44.4646,-115.118,12.06,6.5,"Stanley, Idaho"
2020-03-25T02:49:00,48.9638,157.695,57.8,7.5,"Severo-Kuril’sk, Russia"
2020-02-13T10:33:00,45.6161,148.959,143,7,"Kuril’sk, Russia"
2020-01-28T19:10:00,19.4193,-78.756,14.86,7.7,"Lucea, Jamaica"
2020-01-24T17:55:00,38.4312,39.0609,10,6.7,"Do?anyol, Turkey"
2019-12-15T06:11:00,6.6969,125.174,18,6.8,"Magsaysay, Philippines"
2019-11-14T16:17:00,1.6213,126.416,33,7.1,"Bitung, Indonesia"
2019-11-08T10:44:00,-21.9449,-179.511,577,6.5,"Ndoi Island, Fiji"
2019-11-04T22:43:00,-18.5747,-175.272,10,6.6,"Neiafu, Tonga"
2019-10-31T01:11:00,6.9098,125.178,10,6.5,"Kisante, Philippines"
2019-10-29T01:04:00,6.7567,125.008,15,6.6,"Columbio, Philippines"
2019-09-29T15:57:00,-35.4758,-73.163,11,6.7,"Constitución, Chile"
2019-09-25T23:46:00,-3.4528,128.37,12.26,6.5,"Kairatu, Indonesia"
2019-09-01T15:54:00,-20.3641,-178.57,591,6.6,"Ndoi Island, Fiji"
2019-08-27T23:55:00,-60.2152,-26.5801,16,6.6,"Bristol Island, South Sandwich Islands"
2019-08-02T12:03:00,-7.2822,104.791,49,6.9,"Labuan, Indonesia"
